...Slice...
1 Num Comps
1 Total Num Meshes
596 Total Num Tris
1.00000 0.00000 0.00000 Axis Vector

    Loc    XCenter  YCenter  ZCenter         Area
   -0.300     0.000     0.000     0.000     0.000
   -0.279    -0.279     0.000    -0.000     0.003
   -0.257    -0.257     0.000    -0.000     0.005
   -0.236    -0.236     0.000    -0.000     0.007
   -0.214    -0.214     0.000    -0.000     0.009
   -0.193    -0.193     0.001    -0.000     0.012
   -0.171    -0.171     0.008    -0.000     0.014
   -0.150    -0.150     0.014    -0.000     0.017
   -0.128    -0.128     0.016    -0.000     0.018
   -0.107    -0.107     0.016    -0.000     0.018
   -0.086    -0.086     0.016     0.000     0.018
   -0.064    -0.064     0.016    -0.000     0.018
   -0.043    -0.043     0.016    -0.000     0.018
   -0.021    -0.021     0.016    -0.000     0.018
    0.000     0.000     0.016    -0.000     0.018
    0.022     0.022     0.017    -0.000     0.018
    0.043     0.043     0.017    -0.000     0.018
    0.065     0.065     0.016    -0.000     0.018
    0.086     0.086     0.017    -0.000     0.018
    0.108     0.108     0.017    -0.000     0.018
    0.129     0.129     0.016    -0.000     0.018
    0.150     0.150     0.016     0.000     0.018
    0.172     0.172     0.014    -0.000     0.017
    0.193     0.193     0.008    -0.000     0.014
    0.215     0.215     0.001    -0.000     0.012
    0.236     0.236     0.000     0.000     0.009
    0.258     0.258     0.000     0.000     0.007
    0.279     0.279     0.000     0.000     0.005
    0.301     0.301     0.000     0.000     0.003
    0.322     0.000     0.000     0.000     0.000
