# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
7

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,IPKETGGBAT,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,72,33
# x,y,z,u,w
0.000000000000000000e+00, 0.000000000000000000e+00, 4.531999999999999917e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
-1.604941620322696455e-35, 0.000000000000000000e+00, 4.531999999999999362e-01, 0.000000000000000000e+00, 1.250000000000000000e-01
-1.283953296258157164e-34, 0.000000000000000000e+00, 4.531999999999999362e-01, 0.000000000000000000e+00, 2.500000000000000000e-01
-4.333342374871280669e-34, 0.000000000000000000e+00, 4.531999999999999917e-01, 0.000000000000000000e+00, 3.750000000000000000e-01
-1.027162637006525731e-33, 0.000000000000000000e+00, 4.531999999999998807e-01, 0.000000000000000000e+00, 5.000000000000000000e-01
-4.333342374871280669e-34, 0.000000000000000000e+00, 4.531999999999999917e-01, 0.000000000000000000e+00, 6.250000000000000000e-01
-1.283953296258157164e-34, 0.000000000000000000e+00, 4.531999999999999362e-01, 0.000000000000000000e+00, 7.500000000000000000e-01
-1.604941620322696455e-35, 0.000000000000000000e+00, 4.531999999999999362e-01, 0.000000000000000000e+00, 8.750000000000000000e-01
0.000000000000000000e+00, 0.000000000000000000e+00, 4.531999999999999917e-01, 0.000000000000000000e+00, 1.000000000000000000e+00
-1.604941620322696455e-35, 0.000000000000000000e+00, 4.531999999999999362e-01, 0.000000000000000000e+00, 1.125000000000000000e+00
-1.283953296258157164e-34, 0.000000000000000000e+00, 4.531999999999999362e-01, 0.000000000000000000e+00, 1.250000000000000000e+00
-4.333342374871280669e-34, 0.000000000000000000e+00, 4.531999999999999917e-01, 0.000000000000000000e+00, 1.375000000000000000e+00
-1.027162637006525731e-33, 0.000000000000000000e+00, 4.531999999999998807e-01, 0.000000000000000000e+00, 1.500000000000000000e+00
-4.333342374871280669e-34, 9.757819552369539906e-19, 4.531999999999999917e-01, 0.000000000000000000e+00, 1.625000000000000000e+00
-1.283953296258157164e-34, 8.673617379884035472e-19, 4.531999999999999362e-01, 0.000000000000000000e+00, 1.750000000000000000e+00
-1.604941620322696455e-35, 3.252606517456513302e-19, 4.531999999999999362e-01, 0.000000000000000000e+00, 1.875000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 4.531999999999999917e-01, 0.000000000000000000e+00, 2.000000000000000000e+00
-3.260037666280477133e-36, 3.252606517456513302e-19, 4.531999999999999917e-01, 0.000000000000000000e+00, 2.125000000000000000e+00
-1.404323917782359298e-35, 8.673617379884035472e-19, 4.531999999999999917e-01, 0.000000000000000000e+00, 2.250000000000000000e+00
-3.385423730368188023e-35, 9.757819552369539906e-19, 4.531999999999999917e-01, 0.000000000000000000e+00, 2.375000000000000000e+00
-6.419766481290785820e-35, 0.000000000000000000e+00, 4.531999999999999917e-01, 0.000000000000000000e+00, 2.500000000000000000e+00
-8.125016952883651255e-35, 0.000000000000000000e+00, 4.531999999999999917e-01, 0.000000000000000000e+00, 2.625000000000000000e+00
-5.617295671129437192e-35, 0.000000000000000000e+00, 4.531999999999999362e-01, 0.000000000000000000e+00, 2.750000000000000000e+00
-1.905868174133202324e-35, 0.000000000000000000e+00, 4.531999999999999362e-01, 0.000000000000000000e+00, 2.875000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 4.531999999999999917e-01, 0.000000000000000000e+00, 3.000000000000000000e+00
0.000000000000000000e+00, -3.614007241618347913e-20, 4.531999999999999362e-01, 0.000000000000000000e+00, 3.125000000000000000e+00
0.000000000000000000e+00, -2.891205793294678330e-19, 4.531999999999999362e-01, 0.000000000000000000e+00, 3.250000000000000000e+00
0.000000000000000000e+00, -9.757819552369539906e-19, 4.531999999999999917e-01, 0.000000000000000000e+00, 3.375000000000000000e+00
0.000000000000000000e+00, -2.312964634635742664e-18, 4.531999999999998807e-01, 0.000000000000000000e+00, 3.500000000000000000e+00
-9.027796614315168061e-36, -9.757819552369539906e-19, 4.531999999999999917e-01, 0.000000000000000000e+00, 3.625000000000000000e+00
-1.203706215242022408e-35, -2.891205793294678330e-19, 4.531999999999999362e-01, 0.000000000000000000e+00, 3.750000000000000000e+00
-9.027796614315168061e-36, -3.614007241618347913e-20, 4.531999999999999362e-01, 0.000000000000000000e+00, 3.875000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 4.531999999999999917e-01, 0.000000000000000000e+00, 4.000000000000000000e+00
2.599999999999986220e-04, 3.131710221744211931e-02, 4.531999999999999917e-01, 2.000000000000000111e-01, 0.000000000000000000e+00
2.599999999999980799e-04, 3.064545179991761542e-02, 4.468129876367484821e-01, 2.000000000000000111e-01, 1.250000000000000000e-01
2.599999999999971041e-04, 2.874700042655677079e-02, 4.409922509948324132e-01, 2.000000000000000111e-01, 2.500000000000000000e-01
2.599999999999956946e-04, 2.579649791617852350e-02, 4.357832153335995384e-01, 2.000000000000000111e-01, 3.750000000000000000e-01
2.599999999999941225e-04, 2.196869408760182552e-02, 4.312313059123982217e-01, 2.000000000000000111e-01, 5.000000000000000000e-01
2.599999999999922794e-04, 1.741678466640048106e-02, 4.274035020838215515e-01, 2.000000000000000111e-01, 6.250000000000000000e-01
2.599999999999905989e-04, 1.220774900516768610e-02, 4.244529995734432903e-01, 2.000000000000000111e-01, 7.500000000000000000e-01
2.599999999999892978e-04, 6.387012363251507938e-03, 4.225545482000824804e-01, 2.000000000000000111e-01, 8.750000000000000000e-01
2.599999999999888099e-04, 4.440892098500625291e-19, 4.218828977825579418e-01, 2.000000000000000111e-01, 1.000000000000000000e+00
2.599999999999892978e-04, -6.387012363251509672e-03, 4.225545482000824804e-01, 2.000000000000000111e-01, 1.125000000000000000e+00
2.599999999999905989e-04, -1.220774900516768957e-02, 4.244529995734432903e-01, 2.000000000000000111e-01, 1.250000000000000000e+00
2.599999999999922794e-04, -1.741678466640048453e-02, 4.274035020838215515e-01, 2.000000000000000111e-01, 1.375000000000000000e+00
2.599999999999941225e-04, -2.196869408760183939e-02, 4.312313059123982217e-01, 2.000000000000000111e-01, 1.500000000000000000e+00
2.599999999999956946e-04, -2.579649791617853044e-02, 4.357832153335995384e-01, 2.000000000000000111e-01, 1.625000000000000000e+00
2.599999999999971041e-04, -2.874700042655677079e-02, 4.409922509948324132e-01, 2.000000000000000111e-01, 1.750000000000000000e+00
2.599999999999980799e-04, -3.064545179991760848e-02, 4.468129876367485376e-01, 2.000000000000000111e-01, 1.875000000000000000e+00
2.599999999999986220e-04, -3.131710221744209849e-02, 4.531999999999999917e-01, 2.000000000000000111e-01, 2.000000000000000000e+00
2.599999999999988388e-04, -3.064545179991760501e-02, 4.595870123632515569e-01, 2.000000000000000111e-01, 2.125000000000000000e+00
2.599999999999987304e-04, -2.874700042655676038e-02, 4.654077490051676813e-01, 2.000000000000000111e-01, 2.250000000000000000e+00
2.599999999999984593e-04, -2.579649791617851309e-02, 4.706167846664005006e-01, 2.000000000000000111e-01, 2.375000000000000000e+00
2.599999999999982967e-04, -2.196869408760181164e-02, 4.751686940876018173e-01, 2.000000000000000111e-01, 2.500000000000000000e+00
2.599999999999982425e-04, -1.741678466640046372e-02, 4.789964979161785430e-01, 2.000000000000000111e-01, 2.625000000000000000e+00
2.599999999999984593e-04, -1.220774900516767049e-02, 4.819470004265568042e-01, 2.000000000000000111e-01, 2.750000000000000000e+00
2.599999999999985678e-04, -6.387012363251494927e-03, 4.838454517999176696e-01, 2.000000000000000111e-01, 2.875000000000000000e+00
2.599999999999986220e-04, 1.071790184514329284e-17, 4.845171022174422082e-01, 2.000000000000000111e-01, 3.000000000000000000e+00
2.599999999999985678e-04, 6.387012363251518346e-03, 4.838454517999176696e-01, 2.000000000000000111e-01, 3.125000000000000000e+00
2.599999999999984593e-04, 1.220774900516769998e-02, 4.819470004265568042e-01, 2.000000000000000111e-01, 3.250000000000000000e+00
2.599999999999982425e-04, 1.741678466640049494e-02, 4.789964979161785985e-01, 2.000000000000000111e-01, 3.375000000000000000e+00
2.599999999999982967e-04, 2.196869408760184633e-02, 4.751686940876018728e-01, 2.000000000000000111e-01, 3.500000000000000000e+00
2.599999999999985136e-04, 2.579649791617854432e-02, 4.706167846664005561e-01, 2.000000000000000111e-01, 3.625000000000000000e+00
2.599999999999987304e-04, 2.874700042655678814e-02, 4.654077490051676813e-01, 2.000000000000000111e-01, 3.750000000000000000e+00
2.599999999999988388e-04, 3.064545179991762930e-02, 4.595870123632515014e-01, 2.000000000000000111e-01, 3.875000000000000000e+00
2.599999999999986220e-04, 3.131710221744211237e-02, 4.531999999999999917e-01, 2.000000000000000111e-01, 4.000000000000000000e+00
8.799999999999949356e-04, 9.842502955875984116e-02, 4.531999999999999917e-01, 4.000000000000000222e-01, 0.000000000000000000e+00
8.799999999999924419e-04, 9.635341584888483524e-02, 4.328977578622695832e-01, 4.000000000000000222e-01, 1.250000000000000000e-01
8.799999999999884304e-04, 9.048050894940543043e-02, 4.144833218780710760e-01, 4.000000000000000222e-01, 2.500000000000000000e-01
8.799999999999832262e-04, 8.131921020554007395e-02, 3.980816197142101887e-01, 4.000000000000000222e-01, 3.750000000000000000e-01
8.799999999999769378e-04, 6.938242096250718527e-02, 3.838175790374926954e-01, 4.000000000000000222e-01, 5.000000000000000000e-01
8.799999999999704326e-04, 5.511838028578970594e-02, 3.718807897944598206e-01, 4.000000000000000222e-01, 6.250000000000000000e-01
8.799999999999643611e-04, 3.871667812192886027e-02, 3.627194910505944780e-01, 4.000000000000000222e-01, 7.500000000000000000e-01
8.799999999999600243e-04, 2.030224213773038078e-02, 3.568465841511151426e-01, 4.000000000000000222e-01, 8.750000000000000000e-01
8.799999999999580727e-04, 3.830269434956790385e-18, 3.547749704412401228e-01, 4.000000000000000222e-01, 1.000000000000000000e+00
8.799999999999600243e-04, -2.030224213773037731e-02, 3.568465841511151981e-01, 4.000000000000000222e-01, 1.125000000000000000e+00
8.799999999999643611e-04, -3.871667812192886721e-02, 3.627194910505944780e-01, 4.000000000000000222e-01, 1.250000000000000000e+00
